Cluster Index	Voxels	P	-log10(P)	Z-MAX	Z-MAX X (mm)	Z-MAX Y (mm)	Z-MAX Z (mm)	Z-COG X (mm)	Z-COG Y (mm)	Z-COG Z (mm)	COPE-MAX	COPE-MAX X (mm)	COPE-MAX Y (mm)	COPE-MAX Z (mm)	COPE-MEAN
161	177	6.02e-07	6.22	4.85	14.4	-86.8	-19.6	17.9	-65	-17.2	6.56	14.4	-92.5	-13	2.05
160	49	7.73e-07	6.11	4.81	-3.19	20.7	64	-5.47	14.3	68.7	6.07	0.137	11.6	71.1	3.39
159	38	1.99e-05	4.7	4.11	-8.09	-71	57.4	-4.8	-70.7	61.3	3.78	2.22	-69.6	68.2	2.3
158	31	3.17e-06	5.5	4.51	-18.8	-66	0.357	-22.4	-67.3	1.35	2.15	-18.8	-66	0.357	1.52
157	29	1.04e-05	4.98	4.26	-49.3	-54.6	-17.7	-45.3	-58.4	-21.2	4.22	-46.1	-62.1	-22.2	2.02
156	27	1.28e-05	4.89	4.21	38.3	-54.8	-48.5	41.6	-50.9	-48.1	2.08	31.7	-41.5	-50.6	1.28
155	21	2.29e-07	6.64	5.04	-55.4	-61.5	45.8	-46.1	-61	54.8	4.93	-41.8	-63.5	57.1	3.44
154	19	1.9e-06	5.72	4.62	56.3	-54.9	41.5	56.1	-57.4	43.7	2.99	59.6	-55	41.4	1.91
153	16	3.05e-05	4.52	4.01	-28.9	-39.7	-26.6	-24.8	-38.1	-21.6	2.79	-22	-41.4	-15.1	1.57
152	16	2.6e-05	4.58	4.05	35.7	-73.9	45.4	32	-72.7	50.6	3.1	32.4	-73	51	1.93
151	16	5.35e-05	4.27	3.87	-1.59	-20.8	-30.6	-0.781	-22.5	-31.1	1.26	1.79	-20.9	-30.7	1.07
150	14	3.13e-06	5.5	4.52	10.5	33.4	61.4	8.26	33.9	60.3	6.88	10.5	33.4	61.4	4.42
149	14	6.39e-06	5.19	4.36	66.1	-25.1	-26.1	59	-24.6	-26	1.93	66.1	-25.1	-26.1	1.42
148	13	1.25e-08	7.9	5.57	33.4	35.7	-7.52	31.7	37.2	-7.35	2.34	30	35.8	-7.44	1.5
147	12	5.22e-06	5.28	4.41	38.2	-77.6	-21.9	39.5	-76.7	-26.4	3.09	38.2	-77.6	-21.9	1.94
146	10	7.2e-06	5.14	4.34	-11.6	-22.1	-18.8	-11.9	-18.6	-17.8	2.06	-11.5	-12.3	-20.5	1.25
145	9	0.000239	3.62	3.49	14.7	-72.8	-16.4	16.5	-73.9	-15.6	3.4	11.3	-76	-15.7	1.92
144	8	0.000132	3.88	3.65	66.4	-21.8	-4.11	67.1	-23.2	-8.09	1.38	63	-21.7	-4.03	1.13
143	8	2.53e-05	4.6	4.05	-37.7	42.6	-18	-38.5	42.6	-18	2.56	-37.7	42.6	-18	2.03
142	8	9.45e-06	5.02	4.28	52.7	-5.95	-34.7	50.7	-8.31	-32.1	1.46	52.7	-5.95	-34.7	1.2
141	7	7.64e-05	4.12	3.79	-31.8	-62.2	45.3	-32.2	-62.7	45.4	1.83	-35.2	-62.1	45.4	1.37
140	7	0.000167	3.78	3.59	3.56	59.6	11.8	1.2	61.4	10.8	2.67	0.177	59.7	11.9	2.16
139	7	8.66e-06	5.06	4.3	45.8	-38.4	-6.29	43.1	-35.1	-6.06	1.05	45.8	-38.4	-6.29	0.961
138	7	0.000141	3.85	3.63	-7.08	43.4	-7.71	-8.95	43.5	-7.68	2.02	-7.08	43.4	-7.71	1.81
137	6	0.000146	3.84	3.62	-61.7	-13.9	26.4	-65	-12.3	26.2	1.41	-65.1	-13.8	26.5	1.18
136	6	3.23e-05	4.49	4	43.3	15.8	-4.33	45.5	15.1	-4.28	2.2	46.7	15.7	-4.41	1.93
135	6	4.49e-06	5.35	4.44	-1.85	-60	-1.18	-0.192	-59.9	-1.24	2.13	-1.85	-60	-1.18	1.68
134	6	7.65e-05	4.12	3.79	1.56	-87.8	37.5	-1.15	-88.7	38.6	3.05	-1.82	-87.7	37.6	2.53
133	5	1.65e-05	4.78	4.15	15	-91.4	37.7	15.6	-90.2	37.5	2.41	15	-91.4	37.7	1.96
132	5	6.04e-05	4.22	3.84	-58.7	-43.5	31.5	-60.7	-42.8	31.4	1.42	-62.1	-40.1	31	1.18
131	5	7.54e-05	4.12	3.79	29.5	7.92	-13.9	30.8	8.86	-16.3	2.53	29.4	7.08	-19.4	1.54
130	5	9.6e-05	4.02	3.73	34.1	28.6	55.9	33.3	26.7	56.2	4.34	34.1	28.6	55.9	3.16
129	5	1.29e-05	4.89	4.21	1.26	-60.2	-23.8	3.23	-59.5	-24	1.5	1.26	-60.2	-23.8	1.27
128	5	8.39e-05	4.08	3.76	-3.39	41	20.9	-0.795	42.2	20.6	2.38	-3.35	44.2	20.3	2.01
127	5	2.35e-05	4.63	4.07	37.5	37.5	48.6	36.9	39.6	49.3	3.89	34.1	40.9	48.1	2.41
126	5	2.94e-05	4.53	4.02	-62	-48.2	43.7	-61.4	-47.2	46.7	1.9	-61.9	-47.4	49.2	1.55
125	5	0.000209	3.68	3.53	-6.92	19.8	36	-4.28	20.3	39	1.93	-3.54	19.7	35.9	1.74
124	5	0.000118	3.93	3.68	-65.7	-23	-11.5	-63.1	-24.2	-14.6	1.49	-65.7	-23	-11.5	1.26
123	5	0.000265	3.58	3.47	22.3	-5.08	-34	24.3	-5.45	-31.8	1.46	25.7	-5.18	-34.1	1.27
122	4	8.21e-05	4.09	3.77	14	-96.7	-40.5	10.8	-96.2	-37.7	1.3	10.7	-95.7	-34.9	1.09
121	4	7.81e-05	4.11	3.78	-2.16	-82.9	2.82	-2.29	-83.7	2.96	2.49	-2.16	-82.9	2.82	2.03
120	4	0.000125	3.9	3.66	-46	-71.8	2.13	-45.2	-72.6	2.25	1.31	-46	-71.8	2.13	1.14
119	4	3.63e-05	4.44	3.97	1.16	-97.7	16.6	1.96	-98.7	15.4	3.63	1.16	-97.7	16.6	2.54
118	4	8.72e-05	4.06	3.75	-49.8	-71.1	-37.5	-48.2	-69.5	-37.8	2.01	-46.4	-71.2	-37.5	1.73
117	4	4.63e-05	4.33	3.91	-3.81	44.9	-19.4	-3.11	45.6	-19.5	1.86	-0.432	44.8	-19.5	1.67
