Cluster Index	Voxels	Z-MAX	Z-MAX X (vox)	Z-MAX Y (vox)	Z-MAX Z (vox)	Z-COG X (vox)	Z-COG Y (vox)	Z-COG Z (vox)
85	9958	7.43	16	21	23	32.1	28.1	15.4
84	16	4.59	40	14	0	39.6	13.1	0.601
83	13	5.44	42	44	4	42.5	43.3	3.87
82	10	4.4	41	39	5	41	38.4	5.09
81	9	4.78	35	37	6	33.6	35.9	6
80	7	4	44	33	8	42.1	33.7	7.01
79	7	3.76	25	42	6	24.2	41.5	4.79
78	6	4.48	26	30	3	25.8	29.7	2.85
77	5	4.99	34	50	11	33.5	50.4	11
76	5	4.32	24	47	7	24.8	45.8	7
75	4	4.11	41	36	18	40.5	36.5	18
74	3	3.68	14	38	10	13.7	38.6	10.3
73	3	3.67	29	57	13	29.3	56.7	13
72	3	3.64	42	18	15	42.3	17.7	15
71	3	3.43	48	14	11	47	14	11
70	3	3.43	18	32	11	18.3	31.3	11
69	3	3.67	33	26	17	33	26	17
68	3	4.15	26	36	7	26.3	35.7	6.98
67	3	3.22	21	51	11	21.3	50.7	11
66	2	3.28	49	33	17	49.5	33	17
65	2	3.74	20	46	7	20	46.5	7
64	2	3.74	29	4	14	29	4	14.5
63	2	3.26	46	28	9	46	28.5	9
62	2	3.58	43	10	10	43	10.5	10
61	2	3.53	52	31	14	52.5	31	14
60	2	3.26	31	35	10	31.5	35.5	10.5
59	2	3.34	35	37	8	34.5	37	8
58	2	3.27	20	29	7	20.5	29	7
57	2	3.22	20	11	7	20.5	10.5	7
56	2	3.54	29	39	6	29.5	39	6
55	2	3.44	24	36	6	24	36	6.49
54	2	3.68	15	16	12	15	15.5	12.5
53	2	3.12	42	38	3	41.5	38	3
52	2	3.14	22	33	6	22	33.5	6
51	2	3.54	41	8	6	41	8.49	6
50	2	3.62	10	35	12	10.5	35.5	12
49	2	3.15	24	23	23	24.5	23	23
48	2	3.49	42	55	19	42.5	54.5	19
47	2	4	53	31	5	52.6	31	5
46	2	3.39	39	51	13	39	50.5	13
45	2	4.2	10	23	13	10	22.5	13
44	2	3.64	42	51	13	42	50.5	13
43	1	3.45	41	17	26	41	17	26
42	1	3.13	51	45	14	51	45	14
41	1	3.09	18	12	15	18	12	15
40	1	3.47	26	21	15	26	21	15
39	1	3.09	33	39	15	33	39	15
38	1	3.11	38	51	15	38	51	15
37	1	3.16	51	44	16	51	44	16
36	1	3.58	13	32	17	13	32	17
35	1	3.18	34	42	13	34	42	13
34	1	3.29	51	41	17	51	41	17
33	1	3.17	36	27	23	36	27	23
32	1	3.54	54	21	19	54	21	19
31	1	3.4	18	50	20	18	50	20
30	1	3.28	27	57	20	27	57	20
29	1	3.11	52	22	22	52	22	22
28	1	3.23	39	48	13	39	48	13
27	1	3.34	33	24	0	33	24	0
26	1	3.2	47	16	1	47	16	1
25	1	3.19	41	8	4	41	8	4
24	1	3.12	22	16	4	22	16	4
23	1	3.18	44	10	5	44	10	5
22	1	3.36	27	17	5	27	17	5
21	1	3.11	48	33	5	48	33	5
20	1	3.11	23	44	5	23	44	5
19	1	3.53	20	33	7	20	33	7
18	1	3.54	16	40	7	16	40	7
17	1	3.18	34	40	7	34	40	7
16	1	3.53	47	45	7	47	45	7
15	1	3.23	18	33	25	18	33	25
14	1	3.24	32	37	8	32	37	8
13	1	3.13	22	41	8	22	41	8
12	1	3.55	38	5	9	38	5	9
11	1	3.51	42	7	9	42	7	9
10	1	3.36	17	46	9	17	46	9
9	1	3.18	21	34	10	21	34	10
8	1	3.16	36	37	10	36	37	10
7	1	3.51	31	49	10	31	49	10
6	1	3.17	20	37	11	20	37	11
5	1	3.8	39	50	11	39	50	11
4	1	3.12	30	54	11	30	54	11
3	1	3.12	36	57	12	36	57	12
2	1	3.18	46	31	13	46	31	13
1	1	3.59	43	11	8	43	11	8
